Date,Asset_Y,Asset_X,Spread,Close,High,Low,EMA_Fast,EMA_Slow,Plus_DI,Minus_DI,ADX,ATR,Signal,Strategy,Daily_PnL,Equity,Position
2023-01-02,160.0423841526334,100.00959802926778,-0.5474752378101186,160.0423841526334,160.84259607339655,159.24217223187023,160.0423841526334,160.0423841526334,0.0,0.0,,1.6004238415263217,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-03,160.0731234865776,100.01776246945842,-0.5370933309948498,160.0731234865776,160.87348910401047,159.2727578691447,160.0453117082471,160.04358961670962,0.965058857715289,0.0,100.0,1.600577538196049,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-04,160.07354216524388,100.01724651697032,-0.5353881630000501,160.07354216524388,160.8739098760701,159.27317445441767,160.04800032319918,160.04476422645607,0.6521140514613846,0.0,100.0,1.600630166014838,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-05,160.08767114681103,100.03529166171784,-0.566253413817634,160.08767114681103,160.88810950254506,159.28723279107697,160.0517784968765,160.04644685078372,0.7108399799526424,0.0,100.0,1.600691802378151,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-06,160.09324349319405,100.029696915125,-0.5467309810344432,160.09324349319405,160.89370971066,159.29277727572807,160.05572754414484,160.0482820132312,0.638625130053873,0.0,100.0,1.6007399288889075,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-09,160.09394770617004,100.0249199186367,-0.5341156809985534,160.09394770617004,160.89441744470088,159.29347796763918,160.0593675595758,160.050072824719,0.5395452202706106,0.0,100.0,1.6007731869177064,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-10,160.1310968083714,100.0377500771706,-0.5289576291702645,160.1310968083714,160.93175229241325,159.33044132432954,160.06619891660395,160.05325023584263,0.7956149929627541,0.0,100.0,1.6008500127985639,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-11,160.1488318345697,100.0411044706137,-0.5195865346666437,160.1488318345697,160.94957599374254,159.34808767539687,160.07406871831498,160.05699853383192,0.8352952162526612,0.0,100.0,1.6009298009919526,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-12,160.1631446852967,100.03665233489409,-0.49417261315417704,160.1631446852967,160.96396040872315,159.3623289618702,160.0825521437418,160.061161128007,0.8422773749429111,0.0,100.0,1.601007761643176,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-13,160.15434625584615,100.03792318474788,-0.5061398126227914,160.15434625584615,160.95511798712536,159.3535745245669,160.08938967822792,160.0648154467458,0.7580242737803734,0.05467896282146864,98.50488098487222,1.6010613317347038,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-16,160.17577129796,100.03464129194866,-0.4765316138018818,160.17577129796,160.9766501544498,159.37489244147022,160.09761649915478,160.06916665659733,0.8113416552773541,0.049706182592946124,97.49984187523819,1.6011246391206013,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-17,160.17236055792944,100.02973280386573,-0.4677034022168698,160.17236055792944,160.97322236071906,159.37149875513978,160.10473498094285,160.07321347625742,0.7437066661679006,0.06322506401639257,96.3025392935301,1.601174552992158,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-18,160.21570309910393,100.03095768634704,-0.42741501482055355,160.21570309910393,161.01678161459944,159.4146245836084,160.11530337314866,160.07880130460435,0.8957220517655792,0.058358843023791455,95.59120094074478,1.6012501282228409,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-19,160.16641341160695,100.00728706559023,-0.4176837620078686,160.16641341160695,160.96724547866498,159.36558134454893,160.12017099585898,160.08223707350643,0.8317265449047254,0.27295741154683384,92.12894005322626,1.6012797000723558,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-20,160.1709331352033,99.98715403061227,-0.36296380632234104,160.1709331352033,160.97178780087933,159.3700784695273,160.12500548532034,160.08571535043572,0.8519397112680058,0.27294176049973173,89.22486630028381,1.6013715207741919,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-23,160.17212247212765,99.985308111449,-0.3571718066342555,160.17212247212765,160.97298308448828,159.371261859767,160.12949281739722,160.08910386501188,0.7194422639903362,0.272929708436007,85.2959002037635,1.6014422343352988,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-24,160.14765852415752,99.97768438618378,-0.3626265601080263,160.14765852415752,160.94839681677828,159.34692023153673,160.13122288470774,160.09140012615484,0.7175417885985244,0.38148721573476185,80.33714356845019,1.601495174591666,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-25,160.13536285312938,99.97593908328574,-0.37057044758026336,160.13536285312938,160.93603966739502,159.33468603886374,160.13161716741456,160.09312415466366,0.6541958662913958,0.4360438811888699,74.62353945789111,1.60152924009618,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-26,160.1160805381234,99.96735550405768,-0.3684502433000887,160.1160805381234,160.916660940814,159.31550013543279,160.13013748843446,160.09402440499542,0.6292124008907531,0.5216081377568689,68.14855524023477,1.6015455522711295,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-27,160.1090147049567,99.95698940266118,-0.34966897012967024,160.1090147049567,160.90955977848148,159.30846963143193,160.12812579476991,160.09461225989588,0.6260517160139646,0.5529603116689866,61.44851076370217,1.6015563144131184,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-30,160.1289356066428,99.9632988639448,-0.34548024300852376,160.1289356066428,160.929580284676,159.3282909286096,160.1282029197102,160.0959582734938,0.5488311901839342,0.5529608446594476,54.33242594360205,1.6015547706975977,HOLD,Trend Following,0.0,100000.0,0.0
2023-01-31,160.1181501634996,99.9637579019018,-0.3574102633108396,160.1181501634996,160.91874091431708,159.3175594126821,160.1272455143568,160.09682854369012,0.46934476314080864,0.6008311105416083,48.06717052847616,1.6015328552182626,HOLD,Trend Following,0.0,100000.0,0.0
2023-02-01,160.1137063165326,99.96112006515398,-0.35527685964973443,160.1137063165326,160.91427484811527,159.31313778494996,160.12595606694495,160.09749041713494,0.40519902169475996,0.6205653103266591,42.42400545431621,1.601497542097716,HOLD,Trend Following,0.0,100000.0,0.0
2023-02-02,160.13945999092607,99.9497255766348,-0.3011118717694501,160.13945999092607,160.94015729088068,159.33876269097144,160.12724215494316,160.0991362827738,0.5206410516211772,0.5815234073486613,36.636859843185555,1.6014869090513437,HOLD,Trend Following,0.0,100000.0,0.0
2023-02-03,160.16012066978615,99.94046545360683,-0.25736176174874004,160.16012066978615,160.96092127313506,159.35932006643722,160.13037344207106,160.10152782736253,0.5172184484214408,0.5815274666433179,30.736749650828877,1.6014757300312195,HOLD,Trend Following,0.0,100000.0,0.0
2023-02-06,160.1569743662703,99.9325502690006,-0.24077213848073598,160.1569743662703,160.95775923810163,159.35618949443895,160.13290686342336,160.10370220143736,0.5172219978605348,0.5803579141868661,25.124090419811576,1.6014647398943194,HOLD,Trend Following,0.0,100000.0,0.0
2023-02-07,160.1282629638882,99.91290262103698,-0.22049358535639385,160.1282629638882,160.92890427870762,159.32762164906876,160.13246458727716,160.1046653685923,0.3229514970448169,0.7078038958257571,21.52197962903296,1.601402282654878,HOLD,Trend Following,0.0,100000.0,0.0
2023-02-08,160.1366596977977,99.91690002595374,-0.2220640846432218,160.1366596977977,160.93734299628667,159.33597639930872,160.13286412161244,160.10592004816897,0.3605961403762235,0.4890590742301527,18.988951759095812,1.601381030002157,HOLD,Trend Following,0.0,100000.0,0.0
2023-02-09,160.14186839566645,99.91219225156316,-0.20511689989015736,160.14186839566645,160.94257773764477,159.34115905368813,160.13372167152235,160.10732978728652,0.36368934637585953,0.48906541454277075,16.362563828326593,1.6013602694739149,HOLD,Trend Following,0.0,100000.0,0.0
2023-02-10,160.1102547634273,99.9047537309397,-0.21818313169484327,160.1102547634273,160.9108060372444,159.30970348961014,160.13148672789424,160.1074444922332,0.35836768108843653,0.6293901237030721,15.108540454726766,1.6013160782534146,HOLD,Trend Following,0.0,100000.0,0.0
